##,#######################################################,##
##,                                                       ,##
##,                 TSL MAT numbers                       ,##
##, associated with the ENDF/B-VIII.1-BetaX release       ,##
##,                                                       ,##
##, Note: empty file field means MAT number is reserved.  ,##
##,                                                       ,##
##,                                                       ,##
##,#######################################################,##
##,                                                       ,  
##  MAT number, ENDF-6 file name                ,    Description                                            
##            ,                                 ,                                                           
        3406  ,                                 ,    Te in GeTe                    
        3407  ,                                 ,    Ge in GeTe                    
        3409  ,                                 ,    I in NaI                      
        3410  ,                                 ,    Na in NaI                     
        3412  ,                                 ,    K in KF                       
        3413  ,                                 ,    F in KF                       
        3415  ,                                 ,    Ba in BaO                     
        3416  ,                                 ,    O in BaO                      
        3418  ,                                 ,    Pb in PbO-alpha               
        3419  ,                                 ,    O in PbO-alpha                
        3421  ,                                 ,    Pb in PbO-beta                
        3422  ,                                 ,    O in PbO-beta                 
        3424  ,                                 ,    Pb in PbS                     
        3425  ,                                 ,    S in PbS                      
        3427  ,                                 ,    Zn in ZnO                     
        3428  ,                                 ,    O in ZnO                      
        3430  ,                                 ,    Zn in ZnS                     
        3431  ,                                 ,    S in ZnS                      
        4001  , tsl-FinFLiBe.endf               ,    F in FLiBe                    
        4002  , tsl-BeinFLiBe.endf              ,    Be in FLiBe                   
        4003  , tsl-LiinFLiBe.endf              ,    Li in FLiBe                   
        4005  ,                                 ,    K in KOH                      
        4006  ,                                 ,    O in KOH                      
        4007  ,                                 ,    H in KOH                      
        4009  ,                                 ,    Na in NaOH                    
        4010  ,                                 ,    O in NaOH                     
        4011  ,                                 ,    H in NaOH                     
        4069  ,                                 ,    Mg in MgAl2O4                 
        4070  ,                                 ,    Al in MgAl2O4                 
        4071  ,                                 ,    O in MgAl2O4                  
        4086  ,                                 ,    Mg in MgOH2                   
        4087  ,                                 ,    O in MgOH2                    
        4088  ,                                 ,    H in MgOH2                    
        4092  ,                                 ,    Mg in NaMgH3                  
        4093  ,                                 ,    Na in NaMgH3                  
        4094  ,                                 ,    H in NaMgH3                   
        4099  ,                                 ,    Si in Mg2SiO4                 
        4100  ,                                 ,    Mg in Mg2SiO4                 
        4101  ,                                 ,    O in Mg2SiO4                  
        4109  ,                                 ,    Y in Y3Al5O12                 
        4110  ,                                 ,    Al in Y3Al5O12                
        4111  ,                                 ,    O in Y3Al5O12                 
        4133  ,                                 ,    Y in YAlO3                    
        4134  ,                                 ,    Al in YAlO3                   
        4135  ,                                 ,    O in YAlO3                    
        4140  ,                                 ,    Ca in CaCO3                   
        4141  ,                                 ,    O in CaCO3                    
        4142  ,                                 ,    C in CaCO3                    
        4147  ,                                 ,    Ca in CaOH2                   
        4148  ,                                 ,    O in CaOH2                    
        4149  ,                                 ,    H in CaOH2                    
        4160  ,                                 ,    Zr in CaZrO3                  
        4161  ,                                 ,    Ca in CaZrO3                  
        4162  ,                                 ,    O in CaZrO3                   
        4167  ,                                 ,    Lu in SiLu2O5                 
        4168  ,                                 ,    Si in SiLu2O5                 
        4169  ,                                 ,    O in SiLu2O5                  
        4178  ,                                 ,    Th in ThSiO4                  
        4179  ,                                 ,    Si in ThSiO4                  
        4180  ,                                 ,    O in ThSiO4                   
        4186  ,                                 ,    Y in SiY2O5                   
        4187  ,                                 ,    Si in SiY2O5                  
        4188  ,                                 ,    O in SiY2O5                   
        4197  ,                                 ,    Zr in ZrSiO4                  
        4198  ,                                 ,    Si in ZrSiO4                  
        4199  ,                                 ,    O in ZrSiO4                   
        4205  ,                                 ,    Bi in Ge3Bi4O12               
        4206  ,                                 ,    Ge in Ge3Bi4O12               
        4207  ,                                 ,    O in Ge3Bi4O12                
        6001  ,                                 ,    Si in Na4Si3Al3O12Cl          
        6002  ,                                 ,    Al in Na4Si3Al3O12Cl          
        6003  ,                                 ,    Na in Na4Si3Al3O12Cl          
        6004  ,                                 ,    O in Na4Si3Al3O12Cl           
        6005  ,                                 ,    Cl in Na4Si3Al3O12Cl          
        7200  ,                                 ,    Pu in PuO2                    
        7250  ,                                 ,    O in PuO2                     
        8000  , tsl-U-metal.endf                ,    U-metal                       
        8005  , tsl-U-metal-5P.endf             ,    U-metal-5p                    
        8010  , tsl-U-metal-10P.endf            ,    U-metal-10P
        8047  , tsl-U-metal-100P.endf           ,    U-metal-100P
        8048  , tsl-U-metal-HALEU.endf          ,    U-metal-HALEU
        8099  , tsl-U-metal-HEU.endf            ,    U-metal-HEU                   
        8105  , tsl-UinUC-5P.endf               ,    U in UC-5p                    
        8110  , tsl-UinUC-10P.endf              ,    U in UC-10p                   
        8147  , tsl-UinUC-100P.endf             ,    U in UC-100P
        8148  , tsl-UinUC-HALEU.endf            ,    U in UC-HALEU
        8149  , tsl-UinUC-HEU.endf              ,    U in UC-HEU                   
        8150  , tsl-CinUC.endf                  ,    C in UC                       
        8155  , tsl-CinUC-5P.endf               ,    C in UC-5p                    
        8160  , tsl-CinUC-10P.endf              ,    C in UC-10p                   
        8197  , tsl-CinUC-100P.endf             ,    C in UC-100P
        8198  , tsl-CinUC-HALEU.endf            ,    C in UC-HALEU
        8199  , tsl-CinUC-HEU.endf              ,    C in UC-HEU                   
        8205  , tsl-UinUO2-5P.endf              ,    U in UO2-5p                   
        8210  , tsl-UinUO2-10P.endf             ,    U in UO2-10p      
        8247  ,                                 ,    U in UO2-100P
        8248  , tsl-UinUO2-HALEU.endf           ,    U in UO2-HALEU
        8249  , tsl-UinUO2-HEU.endf             ,    U in UO2-HEU                  
        8297  , tsl-OinUO2-100P.endf            ,    O in UO2-100P
        8298  , tsl-OinUO2-HALEU.endf           ,    O in UO2-HALEU
        8255  , tsl-OinUO2-5P.endf              ,    O in UO2-5p                   
        8260  , tsl-OinUO2-10P.endf             ,    O in UO2-10p                  
        8299  , tsl-OinUO2-HEU.endf             ,    O in UO2-HEU                  
